title,title_original,merged_titles,n_entries_merged,synopsis,genres,themes,score,episodes,aired,studios,composer,composer_source_url,features,mood,mood_method,imdb_review_url,artwork,mal_id,mal_url,artwork_url,mal_title_matched,mal_match_score
Asobi Asobase,Asobi Asobase,Asobi Asobase,1,"During recess, Olivia, a foreign transfer student who doesn't know English, plays a game of ""look-the-other-way"" with Hanako Honda, a loud-mouthed airhead. Their rowdy behavior spurs the ire of Kasumi Nomura, a deadpan loner constantly teased by her older sister for her tendency to lose games. Not willing to compete, Kasumi declines Olivia's offer to join the fun, but eventually gets involved anyway and dispenses her own brand of mischief. Soon, a strange friendship blossoms between the peculiar trio, and they decide to form the ""Pastime Club,"" where they are free to resume their daily hijinks. 

Whether it be failing to learn English, trying desperately to become popular, or getting caught by teachers at the wrong time, school life will never be boring when the girls of Asobi Asobase are up to their hilarious antics.

[Written by MAL Rewrite]",Comedy,Gag Humor | School,8.19,12,2018,Lerche,Masato Koda,,,Chaotic and unhinged—absurdist humor with sudden horror gags; wildly funny in its unpredictability.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Asobi+Asobase+anime+official+key+visual,37171,https://myanimelist.net/anime/37171/Asobi_Asobase,https://cdn.myanimelist.net/images/anime/1139/95077l.jpg,Asobi Asobase,1
Attack on Titan,Shingeki no Kyojin Season 3 Part 2,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack | Shingeki no Kyojin Season 3 Part 2 | Shingeki no Kyojin: Kuinaki Sentaku | Shingeki no Kyojin: The Final Season | Shingeki no Kyojin: The Final Season - Kanketsu-hen,5,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.

Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. 

Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.

[Written by MAL Rewrite]",Action | Drama | Suspense,Gore | Military | Survival,9.05,10,2019,Wit Studio,Hiroyuki Sawano,,,"Dark, brutal, and emotionally exhausting—celebrated for its intensity, moral ambiguity, and shocking twists.",IMDb user reviews (snippet synth),https://www.imdb.com/title/tt2560140/reviews/,https://www.google.com/search?tbm=isch&q=Attack+on+Titan+anime+official+key+visual,16498,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,https://cdn.myanimelist.net/images/anime/10/47347l.jpg,Shingeki no Kyojin,0.2424
Baccano!,Baccano!,Baccano!,1,"During the early 1930s in Chicago, the transcontinental train, Flying Pussyfoot, is starting its legendary journey that will leave a trail of blood all over the country. At the same time in New York, the ambitious scientist Szilard and his unwilling aide Ennis are looking for missing bottles of the immortality elixir. In addition, a war between the mafia groups is getting worse. On board the Advena Avis, in 1711, alchemists are about to learn the price of immortality.

Based on the award-winning light novels of the same name, Baccano! follows several events that initially seem unrelated, both in time and place, but are part of a much bigger story—one of alchemy, survival, and immortality. Merging these events together are the kindhearted would-be thieves, Isaac and Miria, connecting various people, all of them with their own hidden ambitions and agendas, and creating lifelong bonds and consequences for everyone involved.

[Written by MAL Rewrite]",Action | Mystery | Supernatural,Adult Cast | Historical | Organized Crime,8.35,13,2007,Brain's Base,Makoto Yoshimori,,,"Kinetic and exhilarating—a non-linear crime thriller dripping with style, sharp wit, and dark humor.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Baccano%21+anime+official+key+visual,2251,https://myanimelist.net/anime/2251/Baccano,https://cdn.myanimelist.net/images/anime/3/14547l.jpg,Baccano!,1
Bakemono no Ko,Bakemono no Ko,Bakemono no Ko,1,"Two souls, living very different lives, wander alone and isolated in their respective worlds. For nine-year-old Ren, the last person who treated him with any form of kindness has been killed, and he is shunned by what is left of his family. With no parents, no real family, and no place to go, Ren escapes into the confusing streets and alleyways of Shibuya. Through the twists and turns of the alleys, Ren stumbles into the intimidating Kumatetsu, who leads him to the beast realm of Shibuten.

For Kumatetsu, the boy represents a chance for him to become a candidate to replace the lord of the realm once he retires. While nearly unmatched in combat, Kumatetsu's chilly persona leaves him with no disciples to teach and no way to prove he is worthy of becoming the lord's successor. 

While the two share different goals, they agree to help each other in order to reach them. Kumatetsu searches for recognition; Ren, now known as Kyuuta, searches for the home he never had. As the years pass by, it starts to become apparent that the two are helping each other in more ways than they had originally thought. Perhaps there has always been less of a difference between them, a boy and a beast, than either of the two ever realized.

[Written by MAL Rewrite]",Fantasy,Anthropomorphic | Isekai,8.23,1,2015,Studio Chizu,Masakatsu Takagi,,,Warm and adventurous—an emotionally satisfying coming-of-age fantasy with a gruff but tender heart.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Bakemono+no+Ko+anime+official+key+visual,28805,https://myanimelist.net/anime/28805/Bakemono_no_Ko,https://cdn.myanimelist.net/images/anime/11/73540l.jpg,Bakemono no Ko,1
Bakemonogatari,Bakemonogatari,Bakemonogatari,1,"Koyomi Araragi, a third-year high school student, manages to survive a vampire attack with the help of Meme Oshino, a strange man residing in an abandoned building. Though being saved from vampirism and now a human again, several side effects such as superhuman healing abilities and enhanced vision still remain. Regardless, Araragi tries to live the life of a normal student, with the help of his friend and the class president, Tsubasa Hanekawa.

When fellow classmate Hitagi Senjougahara falls down the stairs and is caught by Araragi, the boy realizes that the girl is unnaturally weightless. Despite Senjougahara's protests, Araragi insists he help her, deciding to enlist the aid of Oshino, the very man who had once helped him with his own predicament.

Through several tales involving demons and gods, Bakemonogatari follows Araragi as he attempts to help those who suffer from supernatural maladies.

[Written by MAL Rewrite]",Mystery | Romance | Supernatural,Vampire,8.32,15,2009,Shaft,Satoru Kōsaki,,,Clever and unsettling—dialogue-heavy psychological mystery with an electric visual style; cerebral and seductive.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Bakemonogatari+anime+official+key+visual,5081,https://myanimelist.net/anime/5081/Bakemonogatari,https://cdn.myanimelist.net/images/anime/11/75274l.jpg,Bakemonogatari,1
Bakuman.,Bakuman. 3rd Season,Bakuman. 3rd Season,1,"Onto their third serialization, manga duo Moritaka Mashiro and Akito Takagi—also known by their pen name, Muto Ashirogi—are ever closer to their dream of an anime adaption. However, the real challenge is only just beginning: if they are unable to compete with the artist Eiji Niizuma in the rankings within the span of six months, they will be canceled. To top it off, numerous rivals are close behind and declaring war. They don't even have enough time to spare thinking about an anime!

In Bakuman. 3rd Season, Muto Ashirogi must find a way to stay atop the colossal mountain known as the Shounen Jack rankings. With new problems and new assistants, the pair continue to strive for their dream.

[Written by MAL Rewrite]",Comedy | Drama | Romance,Otaku Culture,8.52,25,2012,J.C.Staff,"Takayuki Negishi, Neil Parfitt",,,"Earnest and motivating—a love letter to manga creation; warm, competitive, and surprisingly moving.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Bakuman.+anime+official+key+visual,7674,https://myanimelist.net/anime/7674/Bakuman,https://cdn.myanimelist.net/images/anime/6/26138l.jpg,Bakuman.,1
Ballroom e Youkoso,Ballroom e Youkoso,Ballroom e Youkoso,1,"Tatara Fujita is a shy middle schooler who has no particular plan for the future. He has gotten through life by avoiding any kind of confrontation and blending in with the crowd. But blending in isn't enough to get out of trouble, as some bullies harass him for money. Luckily, he is saved by a man named Kaname Sengoku.

Kaname invites Tatara to his dance studio. Although he would normally never set foot in such a place, Tatara is captivated by Sengoku's commanding presence. Granted an opportunity to dance with fellow classmate Shizuku Hanaoka—who often practices at the studio—Tatara realizes there's something about the idea of being put in the limelight and dancing where people will see him that keeps him coming back. With an earnest, passionate drive to improve, Tatara begins his journey into the world of competitive dance.

[Written by MAL Rewrite]",Sports,Performing Arts,8.18,24,2017,Production I.G,Yuki Hayashi,,,"Electrifying and tense—competitive dance rendered as raw, passionate combat; dramatic and physically charged.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Ballroom+e+Youkoso+anime+official+key+visual,34636,https://myanimelist.net/anime/34636/Ballroom_e_Youkoso,https://cdn.myanimelist.net/images/anime/5/86739l.jpg,Ballroom e Youkoso,1
BanG Dream! It's MyGO!!!!!,BanG Dream! It's MyGO!!!!!,BanG Dream! It's MyGO!!!!!,1,"In their last year of middle school, the five band members of CRYCHIC went their separate ways after an unpleasant disbandment. Each wrestling with their own regrets, the girls enrolled in different high schools, hoping never to hear from one another again.

Meanwhile, Anon Chihaya transfers to Haneoka Girls' Academy in the middle of the school year. As most students play in a band as a hobby, Anon desires to fit in and spends her first days trying to recruit members for her own band, envisioning herself as the group's vocalist. She befriends Tomori Takamatsu, a shy girl who seems interested but hesitant about joining. As it turns out, Tomori used to be part of CRYCHIC, an experience that has scarred her deeply.

Through Tomori, Anon meets Taki Shiina and Soyo Nagasaki, both former members of the same band. Although Taki detests the idea of playing with Anon, Soyo is delighted to help her out. Now with Soyo by her side, Anon's dream of forming a band is within reach—if only she could find a few more members.

[Written by MAL Rewrite]",Drama,Music,8.24,13,2023,SANZIGEN,Elements Garden,,,Raw and emotionally volatile—a surprisingly dark band drama with fractured relationships and unexpected depth.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=BanG+Dream%21+It%27s+MyGO%21%21%21%21%21+anime+official+key+visual,54959,https://myanimelist.net/anime/54959/BanG_Dream_Its_MyGO,https://cdn.myanimelist.net/images/anime/1891/136948l.jpg,BanG Dream! It's MyGO!!!!!,1
Banana Fish,Banana Fish,Banana Fish,1,"Aslan Jade Callenreese, known as Ash Lynx, was a runaway picked off the streets of New York City and raised by the infamous godfather of the mafia, Dino Golzine. Now 17 years old and the boss of his own gang, Ash begins investigating the mysterious ""Banana Fish""—the same two words his older brother, Griffin, has muttered since his return from the Iraq War. However, his inquiries are hindered when Dino sends his men after Ash at an underground bar he uses as a hideout.

At the bar, Skip, Ash's friend, introduces him to Shunichi Ibe and his assistant, Eiji Okumura, who are Japanese photographers reporting on American street gangs. However, their conversation is interrupted when Shorter Wong, one of Ash's allies, calls to warn him about Dino. Soon, Dino's men storm the bar, and in the ensuing chaos kidnap Skip and Eiji. Now, Ash must find a way to rescue them and continue his investigation into Banana Fish, but will his history with the mafia prevent him from succeeding?

[Written by MAL Rewrite]",Action | Adventure | Drama | Suspense,Delinquents | Organized Crime | Psychological,8.45,24,2018,MAPPA,Shinichi Osawa,,,Gut-wrenching and intense—a brutal crime story with genuine emotional stakes and a devastating finale.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Banana+Fish+anime+official+key+visual,36649,https://myanimelist.net/anime/36649/Banana_Fish,https://cdn.myanimelist.net/images/anime/1190/93472l.jpg,Banana Fish,1
Barakamon,Barakamon,Barakamon,1,"Seishuu Handa is an up-and-coming calligrapher: young, handsome, talented, and unfortunately, a narcissist to boot. When a veteran labels his award-winning piece as ""unoriginal,"" Seishuu quickly loses his cool with severe repercussions.

As punishment, and also in order to aid him in self-reflection, Seishuu's father exiles him to the Goto Islands, far from the comfortable Tokyo lifestyle the temperamental artist is used to. Now thrown into a rural setting, Seishuu must attempt to find new inspiration and develop his own unique art style—that is, if boisterous children (headed by the frisky Naru Kotoishi), fujoshi middle schoolers, and energetic old men stop barging into his house! The newest addition to the intimate and quirky Goto community only wants to get some work done, but the islands are far from the peaceful countryside he signed up for. Thanks to his wacky neighbors who are entirely incapable of minding their own business, the arrogant calligrapher learns so much more than he ever hoped to.

[Written by MAL Rewrite]",Slice of Life,Childcare | Iyashikei | Visual Arts,8.37,12,2014,Kinema Citrus,Kenji Kawai,,,"Heartwarming and grounding—a stressed artist finds himself in a sleepy island village; gentle, funny, restorative.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Barakamon+anime+official+key+visual,22789,https://myanimelist.net/anime/22789/Barakamon,https://cdn.myanimelist.net/images/anime/1426/111248l.jpg,Barakamon,1
Beck,Beck,Beck,1,"Fourteen-year-old Yukio ""Koyuki"" Tanaka is a dispirited young boy with no goals in life. However, this all changes when Koyuki saves a strange-looking dog named Beck from being harassed by a group of local kids. The dog's owner, 16-year-old Ryuusuke ""Ray"" Minami, is an emerging guitarist and the former member of a popular rock band. 

After Koyuki meets Ray again in a diner, the older boy leads him to his former band's meeting place and dazzles Koyuki with his amazing guitar skills. Slowly becoming interested in the glamour of western rock culture, Koyuki decides to start playing the guitar while helping Ray achieve his dream of leading the ultimate rock band. Together with Ray's younger sister Maho and a few other members, the two boys launch their career into the world of rock by forming a band called BECK. Beck follows the group's struggles and successes as they spread their fame across Japan.

[Written by MAL Rewrite]",Drama,Music,8.29,26,2004,Madhouse,Yoshihisa Hirano,,,Authentic and nostalgic—a love letter to music and youth; rough around the edges but emotionally genuine.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Beck+anime+official+key+visual,57,https://myanimelist.net/anime/57/Beck,https://cdn.myanimelist.net/images/anime/11/11636l.jpg,Beck,1
Berserk: Ougon Jidai-hen III - Kourin,Berserk: Ougon Jidai-hen III - Kourin,Berserk: Ougon Jidai-hen III - Kourin,1,"The Band of the Hawk has dwindled in the year since Guts left them on his journey to forge his own destiny. Unaware of their fate, Guts returns to the Hawks—now being led by his former ally Casca—after a rumor about them passes his way. Once the saviors of the kingdom of Midland, the Band of the Hawk are now hunted as they desperately fight for their lives while plotting to free their leader, Griffith, after he was imprisoned for committing treason. But the man they save is far from the Griffith they remember.

Griffith is a shell of his former charismatic self after a year of continuous, horrific torture. No longer able to walk, speak, or even hold a sword, he has nothing but the small, strange trinket, the Crimson Behelit, that will not leave him. The entire Band of the Hawk want to rise to greatness once more, but how much are they willing to sacrifice to return to their past glory? It doesn't seem possible, but when Griffith's heart darkens and a solar eclipse blackens the sky, the Behelit offers a choice that will leave the Band of the Hawk with a blood-soaked fate that will haunt them for the rest of their days.

[Written by MAL Rewrite]",Action | Adventure | Drama | Fantasy | Horror,Gore | Military | Psychological,8.21,1,2013,Studio 4°C,Shiro Sagisu,,,Brutal and tragic—the Eclipse sequence lands like a gut punch; stunning animation serving a story of devastating betrayal.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Berserk%3A+Ougon+Jidai-hen+III+-+Kourin+anime+official+key+visual,12115,https://myanimelist.net/anime/12115/Berserk__Ougon_Jidai-hen_III_-_Kourin,https://cdn.myanimelist.net/images/anime/12/41305l.jpg,Berserk: Ougon Jidai-hen III - Kourin,1
